311,1051
826,406
748,394
1681,265
1011,118
1833,364
332,461
1177,71
1662,840
909,221
795,405
1488,179
780,383
1665,883
859,392
275,484
1678,251
1168,73
928,204
360,392
1029,106
1845,311
1491,168
1531,169
59,424
242,1052
227,512
1678,924
883,372
804,365
1675,247
947,204
1159,77
390,381
1039,101
1833,499
58,425
167,532
1687,974
913,359
1677,227
1148,86
427,358
1053,97
834,352
974,195
1839,514
1505,144
804,1055
53,427
1542,148
1133,92
939,347
1704,1021
1680,219
867,332
458,350
1062,90
106,563
1834,532
853,1054
991,193
969,325
897,321
1116,99
1705,1030
1680,203
50,580
497,334
1074,89
941,329
1681,196
1095,107
927,306
996,311
1695,1032
1819,598
523,323
1542,117
1038,175
911,989
1021,296
1677,1055
1684,190
958,290
551,306
1813,620
1549,111
1563,111
985,293
